starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:05:15 2023	1675105515	2	482	484	481
Tue Jan 31 01:05:14 2023	1675105514	0	484	484	484
Tue Jan 31 01:05:15 2023	1675105515	0	484	484	483
Tue Jan 31 01:05:19 2023	1675105519	0	485	485	484
Tue Jan 31 01:05:19 2023	1675105519	0	485	485	484
Tue Jan 31 01:05:16 2023	1675105516	0	485	486	481
Tue Jan 31 01:05:15 2023	1675105515	0	486	487	486
Tue Jan 31 01:05:14 2023	1675105514	0	487	487	487
Tue Jan 31 01:05:16 2023	1675105516	0	488	488	457
Tue Jan 31 01:05:14 2023	1675105514	0	488	488	479
Tue Jan 31 01:05:14 2023	1675105514	0	488	488	488
Tue Jan 31 01:05:14 2023	1675105514	0	488	488	488
Tue Jan 31 01:05:19 2023	1675105519	0	489	489	488
Tue Jan 31 01:05:14 2023	1675105514	0	489	489	488
Tue Jan 31 01:05:14 2023	1675105514	0	489	489	488
Tue Jan 31 01:05:16 2023	1675105516	0	489	489	489
Tue Jan 31 01:05:17 2023	1675105517	8	482	490	55
Tue Jan 31 01:05:19 2023	1675105519	0	490	490	489
Tue Jan 31 01:05:14 2023	1675105514	0	491	491	491
Tue Jan 31 01:05:13 2023	1675105513	2	490	491	487
Tue Jan 31 01:05:17 2023	1675105517	0	492	492	221
Tue Jan 31 01:05:16 2023	1675105516	0	493	493	492
Tue Jan 31 01:05:17 2023	1675105517	12	482	494	51
Tue Jan 31 01:05:15 2023	1675105515	0	494	494	494
Tue Jan 31 01:05:19 2023	1675105519	0	494	494	435
Tue Jan 31 01:05:13 2023	1675105513	1	494	495	487
Tue Jan 31 01:05:17 2023	1675105517	8	487	495	24
Tue Jan 31 01:05:14 2023	1675105514	0	497	497	496
Tue Jan 31 01:05:15 2023	1675105515	0	498	498	497
Tue Jan 31 01:05:16 2023	1675105516	0	499	499	498
Tue Jan 31 01:05:14 2023	1675105514	0	499	499	499
Tue Jan 31 01:05:17 2023	1675105517	0	499	499	192
Tue Jan 31 01:05:18 2023	1675105518	0	500	500	475
Tue Jan 31 01:05:14 2023	1675105514	0	500	501	464
Tue Jan 31 01:05:16 2023	1675105516	0	500	501	496
Tue Jan 31 01:05:16 2023	1675105516	0	501	501	501
Tue Jan 31 01:05:17 2023	1675105517	11	490	501	58
Tue Jan 31 01:05:14 2023	1675105514	0	502	502	502
Tue Jan 31 01:05:19 2023	1675105519	0	502	503	502
Tue Jan 31 01:05:17 2023	1675105517	8	496	504	95
Tue Jan 31 01:05:14 2023	1675105514	0	505	505	504
Tue Jan 31 01:05:17 2023	1675105517	10	495	505	62
Tue Jan 31 01:05:16 2023	1675105516	0	505	505	407
Tue Jan 31 01:05:19 2023	1675105519	0	506	506	505
Tue Jan 31 01:05:15 2023	1675105515	0	507	507	506
Tue Jan 31 01:05:15 2023	1675105515	1	506	507	506
Tue Jan 31 01:05:18 2023	1675105518	0	507	507	507
Tue Jan 31 01:05:19 2023	1675105519	0	507	508	117
Tue Jan 31 01:05:17 2023	1675105517	11	496	508	65
Tue Jan 31 01:05:15 2023	1675105515	0	508	508	507
Tue Jan 31 01:05:14 2023	1675105514	0	508	508	497
Tue Jan 31 01:05:19 2023	1675105519	0	509	509	176
Tue Jan 31 01:05:15 2023	1675105515	0	511	511	510
Tue Jan 31 01:05:17 2023	1675105517	15	496	511	29
Tue Jan 31 01:05:18 2023	1675105518	0	512	512	511
Tue Jan 31 01:05:19 2023	1675105519	0	512	512	512
Tue Jan 31 01:05:17 2023	1675105517	9	503	513	72
Tue Jan 31 01:05:18 2023	1675105518	0	514	514	512
Tue Jan 31 01:05:16 2023	1675105516	0	515	515	514
Tue Jan 31 01:05:17 2023	1675105517	10	506	515	104
Tue Jan 31 01:05:15 2023	1675105515	0	515	515	515
Tue Jan 31 01:05:17 2023	1675105517	13	503	516	36
Tue Jan 31 01:05:17 2023	1675105517	9	507	516	50
Tue Jan 31 01:05:14 2023	1675105514	0	517	517	478
Tue Jan 31 01:05:17 2023	1675105517	14	503	517	36
Tue Jan 31 01:05:17 2023	1675105517	14	503	517	41
Tue Jan 31 01:05:16 2023	1675105516	0	517	517	423
Tue Jan 31 01:05:16 2023	1675105516	0	519	519	516
Tue Jan 31 01:05:13 2023	1675105513	1	518	519	498
Tue Jan 31 01:05:17 2023	1675105517	9	511	520	52
Tue Jan 31 01:05:15 2023	1675105515	0	520	521	520
Tue Jan 31 01:05:17 2023	1675105517	0	521	521	254
Tue Jan 31 01:05:15 2023	1675105515	0	521	521	512
Tue Jan 31 01:05:13 2023	1675105513	2	520	521	510
Tue Jan 31 01:05:16 2023	1675105516	0	522	522	520
Tue Jan 31 01:05:13 2023	1675105513	0	524	524	503
Tue Jan 31 01:05:19 2023	1675105519	0	524	524	523
Tue Jan 31 01:05:16 2023	1675105516	0	524	524	523
Tue Jan 31 01:05:19 2023	1675105519	0	524	524	524
Tue Jan 31 01:05:13 2023	1675105513	1	523	524	520
Tue Jan 31 01:05:19 2023	1675105519	0	525	525	523
Tue Jan 31 01:05:17 2023	1675105517	0	526	526	233
Tue Jan 31 01:05:19 2023	1675105519	0	528	528	527
Tue Jan 31 01:05:14 2023	1675105514	0	529	529	528
Tue Jan 31 01:05:16 2023	1675105516	0	530	530	530
Tue Jan 31 01:05:14 2023	1675105514	0	531	531	519
Tue Jan 31 01:05:19 2023	1675105519	0	532	532	531
Tue Jan 31 01:05:17 2023	1675105517	13	520	532	114
Tue Jan 31 01:05:15 2023	1675105515	0	533	533	533
Tue Jan 31 01:05:17 2023	1675105517	6	530	536	118
Tue Jan 31 01:05:17 2023	1675105517	4	532	537	110
Tue Jan 31 01:05:16 2023	1675105516	0	537	537	535
Tue Jan 31 01:05:15 2023	1675105515	0	537	537	536
Tue Jan 31 01:05:14 2023	1675105514	0	539	539	509
Tue Jan 31 01:05:13 2023	1675105513	1	539	540	538
Tue Jan 31 01:05:13 2023	1675105513	0	540	540	540
Tue Jan 31 01:05:13 2023	1675105513	0	540	541	540
Tue Jan 31 01:05:17 2023	1675105517	1	541	542	144
Tue Jan 31 01:05:18 2023	1675105518	0	542	542	541
Tue Jan 31 01:05:13 2023	1675105513	0	543	543	543
Tue Jan 31 01:05:19 2023	1675105519	0	543	543	543
Tue Jan 31 01:05:15 2023	1675105515	0	544	544	544
Tue Jan 31 01:05:15 2023	1675105515	0	544	544	544
Tue Jan 31 01:05:14 2023	1675105514	0	545	545	544
Tue Jan 31 01:05:15 2023	1675105515	0	545	545	540
Tue Jan 31 01:05:13 2023	1675105513	0	546	546	545
Tue Jan 31 01:05:15 2023	1675105515	0	546	546	545
Tue Jan 31 01:05:15 2023	1675105515	0	546	546	546
Tue Jan 31 01:05:14 2023	1675105514	0	547	547	546
Tue Jan 31 01:05:16 2023	1675105516	0	547	548	546
Tue Jan 31 01:05:14 2023	1675105514	0	548	548	548
Tue Jan 31 01:05:14 2023	1675105514	0	550	550	541
Tue Jan 31 01:05:18 2023	1675105518	1	552	552	526
Tue Jan 31 01:05:18 2023	1675105518	0	554	554	554
Tue Jan 31 01:05:17 2023	1675105517	9	548	556	134
Tue Jan 31 01:05:15 2023	1675105515	0	558	558	474
Tue Jan 31 01:05:15 2023	1675105515	0	558	559	558
Tue Jan 31 01:05:18 2023	1675105518	0	560	560	559
Tue Jan 31 01:05:14 2023	1675105514	0	561	561	560
Tue Jan 31 01:05:18 2023	1675105518	0	561	561	560
Tue Jan 31 01:05:16 2023	1675105516	0	562	562	552
Tue Jan 31 01:05:14 2023	1675105514	0	563	563	562
Tue Jan 31 01:05:15 2023	1675105515	0	563	563	556
Tue Jan 31 01:05:15 2023	1675105515	0	564	564	562
Tue Jan 31 01:05:18 2023	1675105518	0	564	564	563
Tue Jan 31 01:05:18 2023	1675105518	0	565	565	557
Tue Jan 31 01:05:16 2023	1675105516	1	564	565	561
Tue Jan 31 01:05:14 2023	1675105514	0	566	566	566
Tue Jan 31 01:05:14 2023	1675105514	0	567	567	518
Tue Jan 31 01:05:14 2023	1675105514	0	568	568	567
Tue Jan 31 01:05:17 2023	1675105517	8	561	570	143
Tue Jan 31 01:05:18 2023	1675105518	0	570	570	566
Tue Jan 31 01:05:13 2023	1675105513	1	570	571	569
Tue Jan 31 01:05:17 2023	1675105517	1	571	571	220
Tue Jan 31 01:05:14 2023	1675105514	0	573	573	572
Tue Jan 31 01:05:15 2023	1675105515	0	573	574	573
Tue Jan 31 01:05:17 2023	1675105517	1	575	576	222
Tue Jan 31 01:05:14 2023	1675105514	0	577	577	305
Tue Jan 31 01:05:17 2023	1675105517	0	578	578	270
Tue Jan 31 01:05:19 2023	1675105519	0	579	579	579
Tue Jan 31 01:05:17 2023	1675105517	7	573	580	147
Tue Jan 31 01:05:14 2023	1675105514	0	581	581	580
Tue Jan 31 01:05:17 2023	1675105517	2	580	582	176
Tue Jan 31 01:05:16 2023	1675105516	0	582	582	576
Tue Jan 31 01:05:16 2023	1675105516	0	584	584	542
Tue Jan 31 01:05:14 2023	1675105514	0	584	584	554
Tue Jan 31 01:05:18 2023	1675105518	0	584	584	584
Tue Jan 31 01:05:17 2023	1675105517	1	584	584	230
Tue Jan 31 01:05:14 2023	1675105514	0	584	584	584
Tue Jan 31 01:05:17 2023	1675105517	0	587	587	221
Tue Jan 31 01:05:17 2023	1675105517	0	587	587	216
Tue Jan 31 01:05:17 2023	1675105517	7	584	591	164
Tue Jan 31 01:05:14 2023	1675105514	0	591	591	590
Tue Jan 31 01:05:17 2023	1675105517	0	591	591	222
Tue Jan 31 01:05:15 2023	1675105515	0	592	592	592
Tue Jan 31 01:05:19 2023	1675105519	0	594	594	593
Tue Jan 31 01:05:19 2023	1675105519	0	595	595	595
