starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:04:40 2023	1675105480	0	204	204	101
Tue Jan 31 01:04:41 2023	1675105481	0	205	205	204
Tue Jan 31 01:04:41 2023	1675105481	0	205	205	204
Tue Jan 31 01:04:38 2023	1675105478	0	206	206	128
Tue Jan 31 01:04:34 2023	1675105474	0	206	206	205
Tue Jan 31 01:04:34 2023	1675105474	0	207	207	190
Tue Jan 31 01:04:41 2023	1675105481	0	207	207	206
Tue Jan 31 01:04:35 2023	1675105475	0	207	207	202
Tue Jan 31 01:04:40 2023	1675105480	0	207	208	204
Tue Jan 31 01:04:38 2023	1675105478	2	206	208	205
Tue Jan 31 01:04:40 2023	1675105480	0	208	208	208
Tue Jan 31 01:04:40 2023	1675105480	0	209	209	188
Tue Jan 31 01:04:38 2023	1675105478	0	209	209	179
Tue Jan 31 01:04:35 2023	1675105475	0	209	209	201
Tue Jan 31 01:04:35 2023	1675105475	0	209	209	209
Tue Jan 31 01:04:41 2023	1675105481	0	210	210	210
Tue Jan 31 01:04:40 2023	1675105480	0	210	210	210
Tue Jan 31 01:04:38 2023	1675105478	0	211	211	209
Tue Jan 31 01:04:33 2023	1675105473	3	209	211	208
Tue Jan 31 01:04:38 2023	1675105478	0	211	211	210
Tue Jan 31 01:04:38 2023	1675105478	0	211	211	155
Tue Jan 31 01:04:39 2023	1675105479	0	212	212	123
Tue Jan 31 01:04:39 2023	1675105479	0	212	212	211
Tue Jan 31 01:04:40 2023	1675105480	0	213	213	193
Tue Jan 31 01:04:40 2023	1675105480	0	213	213	135
Tue Jan 31 01:04:39 2023	1675105479	0	214	214	212
Tue Jan 31 01:04:34 2023	1675105474	0	214	214	214
Tue Jan 31 01:04:35 2023	1675105475	0	214	214	213
Tue Jan 31 01:04:38 2023	1675105478	0	216	216	185
Tue Jan 31 01:04:35 2023	1675105475	0	216	216	144
Tue Jan 31 01:04:34 2023	1675105474	1	215	216	215
Tue Jan 31 01:04:39 2023	1675105479	0	216	216	215
Tue Jan 31 01:04:40 2023	1675105480	0	217	217	216
Tue Jan 31 01:04:41 2023	1675105481	0	217	217	216
Tue Jan 31 01:04:40 2023	1675105480	0	218	218	218
Tue Jan 31 01:04:34 2023	1675105474	0	218	219	217
